Duration,TargetShape,Type,acc,accuracy,average_response_time,avg_rt,background,bidi,block_size,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_difficult_practice_resp,correct_difficult_resp,correct_easy_practice_resp,correct_easy_resp,correct_number_input_1,count_Ethics,count_Goodbye,count_Goodbye_Contacts,count_Instructions,count_OpeningWelcome,count_Pop_tunes,count_break,count_difficult_practice,count_difficult_practice_loop,count_difficult_practice_resp,count_difficult_resp,count_difficult_task,count_difficult_task_loop,count_easy_practice,count_easy_practice_loop,count_easy_practice_resp,count_easy_resp,count_easy_task,count_easy_task_loop,count_experiment,count_experimentbegins,count_fixation,count_get_participant_num_1,count_get_sub_num_1,count_init_1,count_instructions_difficult,count_mindwanderingprobe,count_new_logger_3,count_new_sketchpad_5_1,count_number_input_1,count_osweb,count_practice_instruction,count_process_input_1,count_show_input_1,count_stimuli,cr,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,empty_column,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,fname,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,multichar_response,opensesame_codename,opensesame_version,penwidth,psychopy_waitblanking,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_Instructions,response_OpeningWelcome,response_Pop_tunes,response_break,response_difficult_practice_resp,response_difficult_resp,response_easy_practice_resp,response_easy_resp,response_experimentbegins,response_instructions_difficult,response_mindwanderingprobe,response_new_sketchpad_5_1,response_number_input_1,response_practice_instruction,response_time,response_time_Instructions,response_time_OpeningWelcome,response_time_Pop_tunes,response_time_break,response_time_difficult_practice_resp,response_time_difficult_resp,response_time_easy_practice_resp,response_time_easy_resp,response_time_experimentbegins,response_time_instructions_difficult,response_time_mindwanderingprobe,response_time_new_sketchpad_5_1,response_time_number_input_1,response_time_practice_instruction,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,time_Instructions,time_OpeningWelcome,time_Pop_tunes,time_break,time_difficult_practice_loop,time_difficult_practice_resp,time_difficult_resp,time_difficult_task_loop,time_easy_practice_loop,time_easy_practice_resp,time_easy_resp,time_easy_task_loop,time_experimentbegins,time_fixation,time_get_sub_num_1,time_init_1,time_instructions_difficult,time_mindwanderingprobe,time_new_logger_3,time_new_sketchpad_5_1,time_number_input_1,time_practice_instruction,time_process_input_1,time_show_input_1,time_stimuli,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
3000,,Stimuli,50,50,1649,1649,black,no,3124,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",psycho,psycho,psycho,0,uniform,1,,,1,1,,0,0,0,0,0,0,0,,0,,,,0,7,0,7,0,0,0,0,0,8,6,0,0,0,0,0,0,6,0,0,6,6,8,None,16/02/2022,16/02/2022,22:58:29,Wed Mar 16 2022 22:58:29 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,0,0,C:\Users\dcgraham\Downloads,0,0,0,Slide1.jpg,no,mono,no,18,no,white,no,no,768,23058,3.6.1,psycho,psycho,ae2204,osweb,1.4.0,1,yes,621,,0,None,space,space,None,,,,None,None,space,,space,,enter,space,3003,41998,10342,365,,,,3017,3003,4741,,13768,,893,43563,2,psycho,809,1440,30,900,30,106,44,1440,1.64747E+12,1024,2,48000,-16,experiment,18844,even,MacIntel,14661,4313,114022,,119,,,119,119,134853,143137,119,137872,142627,119,109,,56674,146141,,3402,70457,4309,3402,143137,New experiment,8,26379,16,yes,1024
3000,,Stimuli,53,53,1729,1729,black,no,3124,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",psycho,psycho,psycho,0,uniform,1,,,1,1,,0,0,0,0,0,0,0,,0,,,,0,7,0,7,1,1,0,0,0,9,6,0,0,0,0,1,0,6,0,0,6,6,9,None,16/02/2022,16/02/2022,22:58:29,Wed Mar 16 2022 22:58:29 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,0,0,C:\Users\dcgraham\Downloads,0,0,0,Slide8.jpg,no,mono,no,18,no,white,no,no,768,23058,3.6.1,psycho,psycho,ae2204,osweb,1.4.0,1,yes,621,,0,None,space,space,None,,,,None,None,space,,space,,enter,space,3016,41998,10342,365,,,,3017,3016,4741,,13768,,893,43563,2,psycho,809,1440,30,900,30,106,44,1440,1.64747E+12,1024,2,48000,-16,experiment,18844,even,MacIntel,14661,4313,114022,,119,,,119,119,134853,146653,119,137872,146149,119,109,,56674,149669,,3402,70457,4309,3402,146653,New experiment,9,29395,17,yes,1024
3000,,Stimuli,56,56,1801,1801,black,no,3124,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",psycho,psycho,psycho,0,uniform,1,,,1,1,,0,0,0,0,0,0,0,,0,,,,0,7,0,7,2,2,0,0,0,10,6,0,0,0,0,2,0,6,0,0,6,6,10,None,16/02/2022,16/02/2022,22:58:29,Wed Mar 16 2022 22:58:29 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,0,0,C:\Users\dcgraham\Downloads,0,0,0,Slide2.jpg,no,mono,no,18,no,white,no,no,768,23058,3.6.1,psycho,psycho,ae2204,osweb,1.4.0,1,yes,621,,0,None,space,space,None,,,,None,None,space,,space,,enter,space,3015,41998,10342,365,,,,3017,3015,4741,,13768,,893,43563,2,psycho,809,1440,30,900,30,106,44,1440,1.64747E+12,1024,2,48000,-16,experiment,18844,even,MacIntel,14661,4313,114022,,119,,,119,119,134853,150187,119,137872,149671,119,109,,56674,153202,,3402,70457,4309,3402,150187,New experiment,10,32410,18,yes,1024
infinite,,Target,53,53,1737,1737,black,no,3124,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",psycho,psycho,psycho,0,uniform,0,,,1,0,,0,0,0,0,0,0,0,,0,,,,0,7,0,7,3,3,0,0,0,11,6,0,0,0,0,3,0,6,0,0,6,6,11,z,16/02/2022,16/02/2022,22:58:29,Wed Mar 16 2022 22:58:29 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,0,0,C:\Users\dcgraham\Downloads,0,0,0,Slide5.jpg,no,mono,no,18,no,white,no,no,768,23058,3.6.1,psycho,psycho,ae2204,osweb,1.4.0,1,yes,621,,0,m,space,space,None,,,,None,m,space,,space,,enter,space,598,41998,10342,365,,,,3017,598,4741,,13768,,893,43563,2,psycho,809,1440,30,900,30,106,44,1440,1.64747E+12,1024,2,48000,-16,experiment,18844,even,MacIntel,14661,4313,114022,,119,,,119,119,134853,153719,119,137872,153204,119,109,,56674,154319,,3402,70457,4309,3402,153719,New experiment,10,33008,19,yes,1024
3000,,Stimuli,55,55,1801,1801,black,no,3124,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",psycho,psycho,psycho,0,uniform,1,,,1,1,,0,0,0,0,0,0,0,,0,,,,0,7,0,7,4,4,0,0,0,12,6,0,0,0,0,4,0,6,0,0,6,6,12,None,16/02/2022,16/02/2022,22:58:29,Wed Mar 16 2022 22:58:29 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,0,0,C:\Users\dcgraham\Downloads,0,0,0,Slide7.jpg,no,mono,no,18,no,white,no,no,768,23058,3.6.1,psycho,psycho,ae2204,osweb,1.4.0,1,yes,621,,0,None,space,space,None,,,,None,None,space,,space,,enter,space,3016,41998,10342,365,,,,3017,3016,4741,,13768,,893,43563,2,psycho,809,1440,30,900,30,106,44,1440,1.64747E+12,1024,2,48000,-16,experiment,18844,even,MacIntel,14661,4313,114022,,119,,,119,119,134853,154836,119,137872,154320,119,109,,56674,157852,,3402,70457,4309,3402,154836,New experiment,11,36024,20,yes,1024
infinite,,Target,57,57,1744,1744,black,no,3124,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",psycho,psycho,psycho,0,uniform,1,,,1,1,,0,0,0,0,0,0,0,,0,,,,0,7,0,7,5,5,0,0,0,13,6,0,0,0,0,5,0,6,0,0,6,6,13,m,16/02/2022,16/02/2022,22:58:29,Wed Mar 16 2022 22:58:29 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,0,0,C:\Users\dcgraham\Downloads,0,0,0,Slide11.jpg,no,mono,no,18,no,white,no,no,768,23058,3.6.1,psycho,psycho,ae2204,osweb,1.4.0,1,yes,621,,0,m,space,space,None,,,,None,m,space,,space,,enter,space,605,41998,10342,365,,,,3017,605,4741,,13768,,893,43563,2,psycho,809,1440,30,900,30,106,44,1440,1.64747E+12,1024,2,48000,-16,experiment,18844,even,MacIntel,14661,4313,114022,,119,,,119,119,134853,158370,119,137872,157854,119,109,,56674,158985,,3402,70457,4309,3402,158370,New experiment,12,36629,21,yes,1024
3000,,Stimuli,59,59,1802,1802,black,no,3124,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",psycho,psycho,psycho,0,uniform,1,,,1,1,,0,0,0,0,0,0,0,,0,,,,0,7,0,7,6,6,0,0,0,14,6,0,0,0,0,6,0,6,0,0,6,6,14,None,16/02/2022,16/02/2022,22:58:29,Wed Mar 16 2022 22:58:29 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,0,0,C:\Users\dcgraham\Downloads,0,0,0,Slide8.jpg,no,mono,no,18,no,white,no,no,768,23058,3.6.1,psycho,psycho,ae2204,osweb,1.4.0,1,yes,621,,0,None,space,space,None,,,,None,None,space,,space,,enter,space,3015,41998,10342,365,,,,3017,3015,4741,,13768,,893,43563,2,psycho,809,1440,30,900,30,106,44,1440,1.64747E+12,1024,2,48000,-16,experiment,18844,even,MacIntel,14661,4313,114022,,119,,,119,119,134853,159503,119,137872,158987,119,109,,56674,162518,,3402,70457,4309,3402,159503,New experiment,13,39644,22,yes,1024
3000,,Stimuli,61,61,1855,1855,black,no,3124,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",psycho,psycho,psycho,0,uniform,1,,,1,1,,0,0,0,0,0,0,0,,0,,,,0,7,0,7,7,7,0,0,0,15,6,0,0,0,0,7,0,6,0,0,6,6,15,None,16/02/2022,16/02/2022,22:58:29,Wed Mar 16 2022 22:58:29 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,0,0,C:\Users\dcgraham\Downloads,0,0,0,Slide2.jpg,no,mono,no,18,no,white,no,no,768,23058,3.6.1,psycho,psycho,ae2204,osweb,1.4.0,1,yes,621,,0,None,space,space,None,,,,None,None,space,,space,,enter,space,3015,41998,10342,365,,,,3017,3015,4741,,13768,,893,43563,2,psycho,809,1440,30,900,30,106,44,1440,1.64747E+12,1024,2,48000,-16,experiment,18844,even,MacIntel,14661,4313,114022,,119,,,119,119,134853,163037,119,137872,162520,119,109,,56674,166052,,3402,70457,4309,3402,163037,New experiment,14,42659,23,yes,1024
infinite,,Probe,58,58,1860,1860,black,no,3124,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",psycho,psycho,psycho,0,uniform,0,,,1,0,,0,0,0,0,0,0,0,,0,,,,0,7,0,7,8,8,0,0,0,16,6,0,0,0,0,8,0,6,0,0,6,6,16,y;n,16/02/2022,16/02/2022,22:58:29,Wed Mar 16 2022 22:58:29 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,0,0,C:\Users\dcgraham\Downloads,0,0,0,wandering.jpg,no,mono,no,18,no,white,no,no,768,23058,3.6.1,psycho,psycho,ae2204,osweb,1.4.0,1,yes,621,,0,y,space,space,None,,,,None,y,space,,space,,enter,space,1984,41998,10342,365,,,,3017,1984,4741,,13768,,893,43563,2,psycho,809,1440,30,900,30,106,44,1440,1.64747E+12,1024,2,48000,-16,experiment,18844,even,MacIntel,14661,4313,114022,,119,,,119,119,134853,166569,119,137872,166054,119,109,,56674,168569,,3402,70457,4309,3402,166569,New experiment,14,44643,24,yes,1024
3000,,Stimuli,60,60,1906,1906,black,no,3124,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36",psycho,psycho,psycho,0,uniform,1,,,1,1,,0,0,0,0,0,0,0,,0,,,,0,7,0,7,9,9,0,0,0,17,6,0,0,0,0,9,0,6,0,0,6,6,17,None,16/02/2022,16/02/2022,22:58:29,Wed Mar 16 2022 22:58:29 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,0,0,C:\Users\dcgraham\Downloads,0,0,0,Slide13.jpg,no,mono,no,18,no,white,no,no,768,23058,3.6.1,psycho,psycho,ae2204,osweb,1.4.0,1,yes,621,,0,None,space,space,None,,,,None,None,space,,space,,enter,space,3016,41998,10342,365,,,,3017,3016,4741,,13768,,893,43563,2,psycho,809,1440,30,900,30,106,44,1440,1.64747E+12,1024,2,48000,-16,experiment,18844,even,MacIntel,14661,4313,114022,,119,,,119,119,134853,169086,119,137872,168571,119,109,,56674,172103,,3402,70457,4309,3402,169086,New experiment,15,47659,25,yes,1024
